AUTOMATED QUALITY FLAGS — Import to Google Sheets and filter by Flag column,,,,,
Run this as a filter view: Data > Create filter view > Filter Flag column by "YES",,,,,
,,,,,
Flag Type,URL,Title,Detail,Recommended Fix,Priority
NO_FAQ,/blog/how-to-add-moringa-to-diet.html,How to Add Moringa to Your Diet,"7771 words with no FAQ section or FAQPage schema — largest missed opportunity on site","Add 5-item FAQ accordion + FAQPage JSON-LD schema",High
NO_FAQ,/blog/nutrithrive-dried-curry-leaves-tradition-health.html,Natural Curry Leaves Australia: Farm Story,"5233 words with no FAQ — strong E-E-A-T content missing structured data","Add 5-item FAQ accordion + FAQPage JSON-LD schema",High
NO_FAQ,/blog/plant-based-functional-foods-australia-wellness-nutrithrive-2026.html,Top 5 Australian Plant Superfoods,"4869 words with no FAQ — good word count but missing FAQ schema for rich snippets","Add 5-item FAQ accordion + FAQPage JSON-LD schema",Medium
NO_FAQ,/blog/smart-moringa-daily-intake-australia-visual-guide-2026.html,Moringa Dose Australia 2026 | Visual Safe-Use Guide,"Popular topic (daily dose) with no FAQ — losing rich snippet potential","Add FAQ section + FAQPage JSON-LD schema",High
NO_FAQ,/blog/why-i-built-nutrithrive-moringa-real-story-finest-moringa-powder.html,Why I Build NutriThrive: Melbourne Moringa Made Properly,"Brand trust page with no FAQ and only 2 internal links — urgent","Add FAQ section; add 10+ internal links throughout body",High
NO_FAQ,/blog/buy-moringa-powder-melbourne-victoria-chinese-guide.html,2026维州买辣木粉，"Chinese-language post with no FAQ or FAQPage schema","Add Chinese FAQ section + FAQPage schema",Medium
NO_FAQ,/blog/moringa-brands-comparison-australia-chinese-review.html,澳洲辣木粉避坑指南 2026,"Chinese comparison post with no FAQ","Add Chinese FAQ section + FAQPage schema",Medium
LOW_LINKS,/blog/why-i-built-nutrithrive-moringa-real-story-finest-moringa-powder.html,Why I Build NutriThrive: Melbourne Moringa Made Properly,"Only 2 internal links on the brand story page — severely under-linked","Add 10+ contextual links to product posts and blog posts",High
LOW_LINKS,/blog/how-to-use-moringa-powder-daily-without-the-bad-taste-2026.html,Use Moringa Powder Daily: Mask the Bitter Taste,"6 internal links on a 1461-word post — needs more depth and links","Expand post to 2500+ words; add 6+ more contextual links",High
LOW_LINKS,/blog/growing-moringa-australia-honest-frost-pots-2026.html,Growing Moringa in Australia: Frost Pots & Harvest Guide,"5009 words but only 5 internal links — isolation issue for content cluster","Add links to Melbourne growers report; moringa buying guide; where-to-buy",Medium
WEAK_META,/blog/moringa-brands-comparison-australia-2026.html,Best Moringa Powder Australia 2026 | Brands Ranked,"Meta description is only 106 characters — too short for Google to use effectively","Expand meta to 140-155 characters with more detail and target keyword",High
WEAK_META,/blog/moringa-vs-spirulina-vs-matcha-comparison-australia.html,Moringa vs Spirulina vs Matcha AU 2026 | Full Comparison,"Meta description is only 116 characters — borderline short","Expand to 140-155 characters",Medium
WEAK_META,/blog/moringa-melbourne-complete-guide-2026.html,Moringa Melbourne: Honest Guide + Safety Facts (2026),"Meta description is 183 characters — too long (Google truncates at ~160)","Trim to 150-155 characters",High
WEAK_META,/blog/moringa-quality-test-shade-dried-vs-retail-australia-2026.html,Moringa Quality Test 2026: Shade-Dried vs Retail Brands,"Meta description is 182 characters — too long","Trim to 150-155 characters",Medium
WEAK_META,/blog/rosabella-moringa-reviews-legit-or-overhyped-2026.html,Moringa Capsules vs Powder: Which Format Actually Works?,"Meta description is 195 characters — too long","Trim to 150-155 characters (and fix slug/content mismatch first)",High
WEAK_META,/blog/moringa-powder-complete-buyers-guide-australia-2026.html,Moringa Powder Australia: Complete 2026 Buyer's Guide,"Meta description is 165 characters — too long","Trim to 150-155 characters",Low
WEAK_META,/blog/musashi-protein-powder-australia-comprehensive-guide-2026.html,Protein Powder vs Moringa: What Each One Actually Does,"Meta description is 167 characters — too long","Trim to 150-155 characters",Low
WEAK_META,/blog/high-protein-moringa-recipes-australia-2026.html,10 High-Protein Moringa Recipes: Australia 2026 (Tested),"Meta description is 167 characters — too long","Trim to 150-155 characters",Low
WEAK_META,/blog/gut-health-meal-plan-australia-7-day-guide-2026.html,Gut Health Meal Plan Australia: 7-Day Guide + Free Shopping List,"Meta description is 168 characters — too long","Trim to 150-155 characters",Low
WEAK_META,/blog/best-gyms-melbourne-cbd-2026-complete-comparison-guide.html,Why Melbourne CBD Workers Are Still Tired After Training (2026),"Meta description is 183 characters — too long","Trim to 150-155 characters",Low
WEAK_META,/blog/30-day-moringa-experiment-replaced-supplements-journal-2026.html,30-Day Moringa Experiment: I Dropped My Supplements,"Meta description is 163 characters — too long","Trim to 150-155 characters",Low
OLD_CONTENT,/blog/how-to-add-moringa-to-diet.html,How to Add Moringa to Your Diet,"Published ~Mar 2024 — over 2 years old; no Last Updated date in content","Add 'Last Updated: April 2026' tag; review all links and pricing",High
OLD_CONTENT,/blog/moringa-vs-coffee-melbourne-energy-hack.html,Moringa vs Coffee: Melbourne Energy Guide 2026,"Published ~Jun 2024 — coffee pricing and statistics need current data","Update Melbourne coffee pricing data; verify $7/cup claim",High
OLD_CONTENT,/blog/moringa-brands-comparison-australia-2026.html,Best Moringa Powder Australia 2026 | Brands Ranked,"Published ~Jun 2024 — prices and brand availability may be stale","Audit all brand pricing and availability; update comparison table",High
OLD_CONTENT,/blog/natural-heavy-metal-detox-moringa-cleanse-body.html,Heavy Metal Detox & Moringa | What Science Says AU,"Published ~Jun 2024 — citations should be checked for newer studies","Verify citations; add any 2025/2026 research; add Last Updated tag",Medium
OLD_CONTENT,/blog/best-superfoods-australia-comparison-health-conscious-adults.html,Australia 2026 Top Superfoods: 10 Picks for Busy Adults,"Published ~Jun 2024 — product prices and rankings change","Audit pricing; update 2026 market data; add Last Updated tag",Medium
OLD_CONTENT,/blog/nutrithrive-delivers-across-victoria-is-your-town-eligible-hint-yes.html,NutriThrive Delivery Across Victoria,"Published ~Sep 2024 — shipping rates and thresholds may have changed","Verify current free-shipping threshold and delivery timeframes",Medium
OLD_CONTENT,/blog/moringa-powder-victoria-seniors-joint-health.html,Moringa for Victorian Seniors,"Published ~Sep 2024 — one of the top-performing posts","Add Last Updated tag; verify all outbound links active",Medium
OLD_CONTENT,/blog/moringa-vs-spirulina-vs-matcha-comparison-australia.html,Moringa vs Spirulina vs Matcha AU 2026,"Published ~Sep 2024 — prices change","Update comparison pricing; add Last Updated tag",Medium
OLD_CONTENT,/blog/moringa-brands-comparison-australia-chinese-review.html,澳洲辣木粉避坑指南 2026,"Published ~Sep 2024 — brand pricing and availability may be stale","Update Chinese review with 2026 pricing; add Last Updated tag",Low
OLD_CONTENT,/blog/buy-moringa-powder-melbourne-victoria-chinese-guide.html,2026维州买辣木粉，"Published ~Sep 2024","Update delivery details and pricing for 2026",Low
OLD_CONTENT,/blog/nutrithrive-dried-curry-leaves-tradition-health.html,Natural Curry Leaves Australia: Farm Story,"Published ~Jun 2024 — one of the stronger curry leaves posts","Add Last Updated tag; verify product availability",Medium
OLD_CONTENT,/blog/how-to-read-moringa-batch-codes-freshness.html,Read Moringa Batch Codes & Check Freshness,"Published ~Sep 2024","Add Last Updated tag; expand content",Low
OLD_CONTENT,/blog/science-shade-drying-vs-sun-drying-moringa.html,Shade- vs Sun-Dried Moringa: Colour & Quality Guide,"Published ~Jun 2024; recently updated Apr 2026","Post has been updated — lower urgency; expand if possible",Low
OLD_CONTENT,/blog/why-i-built-nutrithrive-moringa-real-story-finest-moringa-powder.html,Why I Build NutriThrive: Melbourne Moringa Made Properly,"Published ~Jun 2024; updated Apr 2026 — but critically under-linked","Fix links and FAQ even though content was updated",High
CONTENT_ISSUE,/blog/rosabella-moringa-reviews-legit-or-overhyped-2026.html,SLUG MISMATCH: rosabella-reviews vs capsules-vs-powder content,"URL slug promises a Rosabella brand review but page is about capsules vs powder","Decision required: (1) Rewrite as Rosabella review OR (2) 301 redirect to moringa-powder-vs-capsules",High
CONTENT_ISSUE,/blog/moringa-chemist-warehouse-vs-nutrithrive-quality-test-2025.html,URL contains 2025 but content updated to 2026,"Canonical URL has year mismatch; could confuse searchers and ranking signals","Plan 301 redirect from -2025 URL to new -2026 URL; update internal links",High
CONTENT_ISSUE,/blog/best-gyms-melbourne-cbd-2026-complete-comparison-guide.html,TITLE/SLUG MISMATCH: slug says best-gyms but title is about tired-after-training,"Off-topic divergence; slug keyword does not match content focus","Decide: keep gym audience focus or pivot to recovery nutrition; update title or slug accordingly",Medium
CONTENT_ISSUE,/blog/musashi-protein-powder-australia-comprehensive-guide-2026.html,SLUG MISMATCH: Musashi-specific slug but content is generic protein-vs-moringa comparison,"Musashi keyword in slug is a specific brand not discussed in depth in content","Rewrite to include actual Musashi product review OR rename slug to protein-powder-vs-moringa-australia",Medium
THIN_CONTENT,/blog/how-to-use-moringa-powder-daily-without-the-bad-taste-2026.html,Use Moringa Powder Daily: Mask the Bitter Taste,"Only 1461 words on a high-intent how-to keyword","Expand to 2500+ words with taste-pairing recipes and daily protocol",High
THIN_CONTENT,/blog/is-moringa-legit-what-science-and-real-users-say-2026.html,Is Moringa Legit? Science and Hype in Australia (2026),"Only 1454 words on a top-funnel informational keyword","Expand to 3000+ words with citations table and user evidence",High
THIN_CONTENT,/blog/best-clean-protein-powders-moringa-products-australia-2026.html,Clean Protein and Moringa: Australia 2026 Label Guide,"Only 1359 words — thinnest post on the site","Expand to 2000+ words with actual label comparisons",High
THIN_CONTENT,/blog/moringa-powder-vs-capsules-which-one-actually-works-better-2026.html,Moringa Powder vs Capsules AU 2026,"Only 1670 words on a competitive commercial keyword","Expand to 3000+ words with comparison table and dose maths",High
THIN_CONTENT,/blog/does-moringa-have-caffeine-truth-about-energy-focus-side-effects-2026.html,Does Moringa Have Caffeine? Energy Focus & Side Effects (2026),"Only 1697 words — high-volume query deserving more depth","Expand to 2500+ words; add energy comparison chart",Medium
