Country,Clicks,Impressions,CTR,Position
Australia,13,1049,1.24%,30.55
Vietnam,1,8,12.5%,30.25
United States,0,177,0%,17.47
India,0,40,0%,13.8
United Kingdom,0,29,0%,14.52
Canada,0,19,0%,22.84
Indonesia,0,11,0%,10.82
Philippines,0,10,0%,22.4
Netherlands,0,9,0%,9.44
Pakistan,0,8,0%,7.75
South Korea,0,8,0%,11.5
New Zealand,0,7,0%,7.86
Brazil,0,5,0%,6
United Arab Emirates,0,5,0%,8.4
Japan,0,5,0%,8.8
Sweden,0,4,0%,4.75
Taiwan,0,4,0%,7.75
Israel,0,4,0%,8
Spain,0,4,0%,8.5
Saudi Arabia,0,4,0%,26.25
Hong Kong,0,3,0%,6.67
Malaysia,0,3,0%,8
Germany,0,3,0%,8.67
South Africa,0,3,0%,8.67
Bangladesh,0,3,0%,27.67
France,0,3,0%,116.33
Finland,0,2,0%,2.5
Ghana,0,2,0%,6.5
Cambodia,0,2,0%,6.5
Mexico,0,2,0%,7.5
Sri Lanka,0,2,0%,8
Qatar,0,2,0%,8
Kuwait,0,2,0%,8.5
Hungary,0,2,0%,9.5
Ireland,0,2,0%,10.5
Turkey,0,2,0%,10.5
China,0,2,0%,16
Ecuador,0,2,0%,26
Azerbaijan,0,2,0%,26.5
Colombia,0,2,0%,30
Algeria,0,2,0%,32.5
Peru,0,1,0%,4
Maldives,0,1,0%,5
Serbia,0,1,0%,5
Chile,0,1,0%,6
Italy,0,1,0%,6
Belarus,0,1,0%,7
Macau,0,1,0%,7
Isle of Man,0,1,0%,8
Romania,0,1,0%,8
Barbados,0,1,0%,9
Morocco,0,1,0%,9
Cyprus,0,1,0%,10
Egypt,0,1,0%,10
Jersey,0,1,0%,10
Singapore,0,1,0%,10
Ukraine,0,1,0%,10
Fiji,0,1,0%,11
Nepal,0,1,0%,11
Thailand,0,1,0%,11
Aruba,0,1,0%,12
Unknown Region,0,1,0%,12
Poland,0,1,0%,13
Argentina,0,1,0%,21
Tunisia,0,1,0%,38