Date,Clicks,Impressions,CTR,Position
2025-11-12,3,278,1.08%,38.17
2025-11-11,0,153,0%,25.67
2025-11-10,2,196,1.02%,26.28
2025-11-09,2,221,0.9%,21.9
2025-11-08,4,186,2.15%,20.44
2025-11-07,7,200,3.5%,19.95
2025-11-06,3,170,1.76%,24.99
2025-11-05,5,218,2.29%,20.56
2025-11-04,12,174,6.9%,20.93
2025-11-03,4,192,2.08%,23.73
2025-11-02,10,184,5.43%,18.2
2025-11-01,8,225,3.56%,15.92
2025-10-31,8,230,3.48%,19.78
2025-10-30,4,225,1.78%,23.88
2025-10-29,1,241,0.41%,19.12
2025-10-28,5,262,1.91%,18.98
2025-10-27,10,258,3.88%,21.11
2025-10-26,8,256,3.12%,23.27
2025-10-25,7,219,3.2%,21.32
2025-10-24,2,189,1.06%,25.78
2025-10-23,6,473,1.27%,42.9
2025-10-22,5,257,1.95%,23.89
2025-10-21,4,251,1.59%,25.9
2025-10-20,5,257,1.95%,19.31
2025-10-19,9,293,3.07%,14.18
2025-10-18,6,278,2.16%,19.81
2025-10-17,0,292,0%,20.35
2025-10-16,5,334,1.5%,20.41